title,type,release_year,rating,country
Dick Johnson Is Dead,Movie,2020,PG-13,United States
Blood & Water,TV Show,2021,TV-MA,South Africa
Ganglands,TV Show,2021,TV-MA,
Jailbirds New Orleans,TV Show,2021,TV-MA,
Kota Factory,TV Show,2021,TV-MA,India
Midnight Mass,TV Show,2021,TV-MA,
My Little Pony: A New Generation,Movie,2021,PG,
Sankofa,Movie,1993,TV-MA,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia"
The Great British Baking Show,TV Show,2021,TV-14,United Kingdom
The Starling,Movie,2021,PG-13,United States
"Vendetta: Truth, Lies and The Mafia",TV Show,2021,TV-MA,
Bangkok Breaking,TV Show,2021,TV-MA,
Je Suis Karl,Movie,2021,TV-MA,"Germany, Czech Republic"
Confessions of an Invisible Girl,Movie,2021,TV-PG,
Crime Stories: India Detectives,TV Show,2021,TV-MA,
Dear White People,TV Show,2021,TV-MA,United States
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,TV-MA,
Falsa identidad,TV Show,2020,TV-MA,Mexico
Intrusion,Movie,2021,TV-14,
Jaguar,TV Show,2021,TV-MA,
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,TV-14,
Resurrection: Ertugrul,TV Show,2018,TV-14,Turkey
Avvai Shanmughi,Movie,1996,TV-PG,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,TV-Y,
Jeans,Movie,1998,TV-14,India
Love on the Spectrum,TV Show,2021,TV-14,Australia
Minsara Kanavu,Movie,1997,TV-PG,
Grown Ups,Movie,2010,PG-13,United States
Dark Skies,Movie,2013,PG-13,United States
Paranoia,Movie,2013,PG-13,"United States, India, France"
Ankahi Kahaniya,Movie,2021,TV-14,
Chicago Party Aunt,TV Show,2021,TV-MA,
Sex Education,TV Show,2020,TV-MA,United Kingdom
Squid Game,TV Show,2021,TV-MA,
Tayo and Little Wizards,TV Show,2020,TV-Y7,
The Father Who Moves Mountains,Movie,2021,TV-MA,
The Stronghold,Movie,2021,TV-MA,
Angry Birds,TV Show,2018,TV-Y7,Finland
Birth of the Dragon,Movie,2017,PG-13,"China, Canada, United States"
Chhota Bheem,TV Show,2021,TV-Y7,India
He-Man and the Masters of the Universe,TV Show,2021,TV-Y7,United States
Jaws,Movie,1975,PG,United States
Jaws 2,Movie,1978,PG,United States
Jaws 3,Movie,1983,PG,United States
Jaws: The Revenge,Movie,1987,PG-13,United States
My Heroes Were Cowboys,Movie,2021,PG,
Safe House,Movie,2012,R,"South Africa, United States, Japan"
The Smart Money Woman,TV Show,2020,TV-MA,
Training Day,Movie,2001,R,United States
Castle and Castle,TV Show,2021,TV-MA,Nigeria
Dharmakshetra,TV Show,2014,TV-PG,India
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,TV-14,Japan
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,TV-14,Japan
InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,TV-PG,Japan
