course_id,course_title,price,num_subscribers,num_reviews,num_lectures,subject
1070968,Ultimate Investment Banking Course,200.0,2147.0,23,51,Business Finance
1113822,Complete GST Course & Certification - Grow Your CA Practice,75.0,2792.0,923,274,Business Finance
1006314,Financial Modeling for Business Analysts and Consultants,45.0,2174.0,74,51,Business Finance
1210588,Beginner to Pro - Financial Analysis in Excel 2017,95.0,2451.0,11,36,Business Finance
1011058,How To Maximize Your Profits Trading Options,200.0,1276.0,45,26,Business Finance
192870,Trading Penny Stocks: A Guide for All Levels In 2017,150.0,9221.0,138,25,Business Finance
739964,Investing And Trading For Beginners: Mastering Price Charts,65.0,1540.0,178,26,Business Finance
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95.0,2917.0,148,23,Business Finance
476268,Options Trading 3 : Advanced Stock Profit and Success Method,195.0,5172.0,34,38,Business Finance
1167710,The Only Investment Strategy You Need For Your Retirement,200.0,827.0,14,15,Business Finance
592338,Forex Trading Secrets of the Pros With Amazon's AWS,200.0,,93,76,Business Finance
975046,Trading Options With Money Flow,,1380.0,42,17,Business Finance
742602,Financial Management Risk and Return For Securities,30.0,3607.0,21,19,Business Finance
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,195.0,4061.0,52,16,Business Finance
1196544,Python Algo Trading: Sentiment Trading with News,200.0,294.0,19,42,Business Finance
504036,Short Selling: Learn To Sell Stocks Before The Fall,75.0,2276.0,106,19,Business Finance
719698,basic technical analysis: learn the structure of the market,20.0,4919.0,79,16,business finance
564966,The Complete Chart Pattern Trading Course: A Proven Approach,,2666.0,115,52,Business Finance
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50.0,5354.0,24,23,Business Finance
58977,financial statements made easy,95.0,8095.0,249,12,business finance
1242604,Winning Forex Trading with Live Forex Trading Examples,200.0,809.0,3,25,Business Finance
798740,Forex Traders - Create Your First Trading Robot. No Coding!,200.0,2295.0,84,39,Business Finance
506568,Create A Business From Home Trading Stocks Today In 2017,75.0,10149.0,83,16,Business Finance
1020760,introduction to accounting : mastering financial statements,50.0,1916.0,38,23,business finance
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45.0,2507.0,333,40,Business Finance
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150.0,5786.0,518,50,Business Finance
353044,Investing 101: The Complete Online Investing Course,200.0,5334.0,373,42,Business Finance
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175.0,4005.0,237,25,Business Finance
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150.0,2877.0,103,81,Business Finance
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,140.0,,25,37,Business Finance
1170894,python algo stock trading: automate your trading!,95.0,1165.0,21,41,business finance
948974,THE Forex Robot: Incredible ROI (Robot Included),200.0,1843.0,171,35,Business Finance
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,,8797.0,449,80,Business Finance
1217778,Mastering High Probability Iron Condor Options Trading,200.0,1030.0,11,22,Business Finance
1246208,The Complete Short Course on Ethereum,200.0,1041.0,12,28,Business Finance
434774,options trading stocks: proven toolbox for financial success,195.0,7884.0,118,68,business finance
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195.0,16900.0,2476,52,Business Finance
888716,"Introduction to Finance, Accounting, Modeling and Valuation",200.0,11441.0,1118,61,Business Finance
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,195.0,22257.0,2697,138,Business Finance
965832,the complete investment banking course 2017,195.0,8575.0,809,110,business finance
648826,The Complete Financial Analyst Course 2017,195.0,24481.0,2347,174,Business Finance
1035472,Python for Finance: Investment Fundamentals & Data Analytics,195.0,3811.0,278,103,Business Finance
1154754,Financial Modeling for Startups & Small Businesses,195.0,,137,79,Business Finance
627540,Options Trading - How to Win with Weekly Options,115.0,7489.0,1190,25,Business Finance
301442,black algo trading: build your trading robot,200.0,20195.0,1113,227,business finance
640100,Accounting & Financial Statement Analysis: Complete Training,150.0,10042.0,594,43,Business Finance
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,95.0,367.0,42,35,Business Finance
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200.0,10603.0,872,42,Business Finance
1214702,Three Steps Trading - Live Trading - Real Account,190.0,1197.0,11,46,Business Finance
848664,Option Trading for Rookies:  Understand Options Completely,150.0,2893.0,65,62,Business Finance
1142570,How I Learned Stock Trading (and How You Can Too),200.0,1580.0,12,53,Business Finance
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,95.0,10605.0,71,77,Business Finance
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125.0,2996.0,200,23,Business Finance
885974,Four Fundamentals of Financial Planning,30.0,6219.0,23,20,Business Finance
1151092,Options Trading - Calendar Spread Course for Every Trader,200.0,1113.0,11,17,Business Finance
358326,Dividend Investing: Build Your Portfolio for a Better Future,60.0,8314.0,83,47,Business Finance
153210,Learn Accounting. Understand Business.,200.0,5572.0,123,33,Business Finance
834836,How to Consistently Win Trading Stocks in 30 Days or Less,145.0,1433.0,169,15,Business Finance
1171994,A Beginner's Guide to Quantopian Futures API,20.0,,6,11,Business Finance
1239068,How to Buy Cheap Options - Options Trading Pricing Model,200.0,658.0,2,19,Business Finance
985922,Excel Crash Course: Master Excel for Financial Analysis,105.0,8121.0,689,40,Business Finance
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",60.0,4187.0,600,79,Business Finance
165964,stock trading ninja: complete system for trading success,155.0,9445.0,497,38,business finance
855172,Hedge and Mutual Fund Careers: The Complete Guide,200.0,3255.0,340,102,Business Finance
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,185.0,7941.0,713,40,Business Finance
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,150.0,1680.0,158,76,Business Finance
43319,Options Trading Basics (3-Course Bundle),,10100.0,985,45,Business Finance
408440,How to Win 97% of Your Options Trades,125.0,5050.0,461,26,Business Finance
918688,How I Make Consistent Returns Trading Options,200.0,2310.0,162,26,Business Finance
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185.0,5528.0,506,32,Business Finance
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125.0,6451.0,237,28,Business Finance
401784,Options Trading Introduction: Day Trade Stock Options,95.0,12394.0,218,30,Business Finance
1122792,The Almost Perfect Options Trading Strategy System - Unique,200.0,,18,15,Business Finance
709500,Forex Trading -  Learn to Trade Forex Like the Banks,20.0,3223.0,240,23,Business Finance
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,60.0,16385.0,273,45,Business Finance
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,200.0,1487.0,16,18,Business Finance
834558,What Finance Job is for You? Explanation of 14 Finance Roles,200.0,2951.0,232,60,Business Finance
551968,The Blueprint for Successful Stock Trading,120.0,2697.0,331,15,Business Finance
1005658,trading for beginners - intermediate level,150.0,3979.0,40,39,business finance
746432,Start Trading Stocks Using Technical Analysis!,25.0,3190.0,244,45,Business Finance
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200.0,1406.0,71,54,Business Finance
284118,VPS for Forex Trading - Protect Your Forex Robots,160.0,4252.0,225,24,Business Finance
302562,Introduction to Accounting: The Language of Business,20.0,11958.0,370,134,Business Finance
596598,Basic Excel for Basic Bookkeeping and Accounting,95.0,7743.0,340,33,Business Finance
860890,"Using 'The Greeks To Understand Options""",50.0,2134.0,55,5,Business Finance
951050,trading options for consistent returns: calendar spreads,200.0,1214.0,69,20,business finance
796450,How to Create Your Personal Budget,20.0,3870.0,53,10,Business Finance
502772,The Complete Value Investing Course: A Proven Approach,200.0,2146.0,212,49,Business Finance
1102462,FOREX Trading with Price Action,195.0,484.0,57,19,Business Finance
1062092,Emini ES Futures - Advanced Non Directional Options Trading,200.0,1057.0,15,14,Business Finance
891484,Forex Trading - Advanced Fundamental Analysis,20.0,1754.0,100,49,Business Finance
1217064,How To Invest With Tiny Capital In Stocks ?,20.0,1239.0,5,6,Business Finance
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95.0,2493.0,276,108,Business Finance
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150.0,2602.0,402,57,Business Finance
474928,Intermediate Options trading concepts for Stocks and Options,40.0,2000.0,30,9,Business Finance
1148774,Options Trading 101: The Basics,0.0,1514.0,66,11,Business Finance
959144,Practical Accounts APP Overview,20.0,1361.0,1,14,Business Finance
1233350,Bitcoin Profits for Beginners,100.0,61.0,18,30,Business Finance
572744,Trend Traders Club: How To Find And Trade Fast Moving Trends,75.0,,31,60,Business Finance
724062,Financial Statements Basics,20.0,1374.0,19,9,Business Finance
474212,High performance Stock Trading using key Options techniques,40.0,,15,6,Business Finance
771276,Introduction to Financial Statement Analysis,20.0,1480.0,25,25,Business Finance
388164,Basics of Economics (College Level),25.0,2516.0,12,20,Business Finance
133536,Stock Market Investing for Beginners,0.0,50855.0,2698,15,Business Finance
655300,Accounting for Beginners : Learn Basics in under 1 Hour,,1971.0,13,20,Business Finance
949504,Straddle Options Trading - Profit in Any Market Direction,200.0,837.0,9,19,Business Finance
265960,Fundamentals of Forex Trading,0.0,17160.0,620,23,Business Finance
680044,"Binary Options: Trading Strategies, 90% Accuracy and Signals",195.0,1723.0,38,24,Business Finance
923616,Website Investing 101 - Buying & Selling Online Businesses,0.0,6811.0,151,51,Business Finance
741898,Practical Accounts & Bookkeeping Automated Overview ,20.0,2060.0,17,30,Business Finance
381330,Live Account - ETF Trading System - Hacking The Stock Market,150.0,2318.0,19,16,Business Finance
545918,Stock Market Leverage: How to Start Trading Options Wisely,95.0,2153.0,14,13,Business Finance
191854,Stock Market Foundations,0.0,19339.0,794,9,Business Finance
471546,Crash Course on Working Capital Management,20.0,3177.0,8,8,Business Finance
866584,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,150.0,1535.0,16,462,Business Finance
889824,61% profit in 1 month - crush your forex trading paradigm,20.0,1027.0,29,25,business finance
1191504,How to create a routine Trading,,307.0,8,5,Business Finance
585752,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",150.0,2096.0,48,29,Business Finance
671578,Forex SOS Course: Trading Tweaks And Working Forex Strategy,50.0,1315.0,48,59,Business Finance
151668,Introduction to Financial Modeling,0.0,29167.0,1463,8,Business Finance
1105344,Quantitative Aptitude for Banking & Competitive Examinations,50.0,1056.0,1,42,Business Finance
44836,option spreads and credit spreads bundle,180.0,2212.0,194,24,business finance
840300,B Com Accountancy I (Paper ECO 02 IGNOU),50.0,2946.0,6,284,Business Finance
1100054,FOREX TRADING - Learn in a quick + profitable way + support,100.0,271.0,48,47,Business Finance
421054,Auditing Basics (Professional Course Level),25.0,3771.0,10,35,Business Finance
528784,Stock market Investing Encyclopedia: How to invest in stocks,200.0,3143.0,11,39,Business Finance
637430,Learn the basics of preparing accounting statements,20.0,1951.0,30,20,Business Finance
236080,Elliott Wave -Forex Trading With The Elliott Wave Theory,90.0,4022.0,35,14,Business Finance
777444,Corporate Finance - A Brief Introduction,0.0,,649,17,Business Finance
474238,Excel functions to analyze and visualize data,20.0,2283.0,54,16,Business Finance
1245244,Building Financial Statements in Excel,35.0,1181.0,1,18,Business Finance
1051570,Transfer Pricing A Complete Analysis,50.0,1852.0,3,14,Business Finance
262370,Accounting: Get Hired Without Work Experience,100.0,4661.0,187,20,Business Finance
1188178,Forex Trading for Beginners - Basics,50.0,989.0,9,11,Business Finance
824592,Basic Bookkeeping Hacks,20.0,5841.0,16,28,Business Finance
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),200.0,1087.0,14,61,Business Finance
1243448,"Forex Trading with Fixed 'Risk through Options Trading""",200.0,611.0,4,26,Business Finance
730414,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",60.0,1922.0,149,15,Business Finance
252396,How to Pick The Right Penny Stocks To Invest In 2017,150.0,9015.0,65,23,Business Finance
1198166,top 10 trading ideas in the equities market,20.0,661.0,4,12,business finance
920604,intro to financial modeling,105.0,1077.0,110,55,business finance
215728,Shark Accounting - Building a Business by the Numbers!,20.0,6050.0,140,17,Business Finance
722174,Forex Trading MAKE YOUR FIRST TRADE TODAY!,150.0,3523.0,46,45,Business Finance
48841,Accounting in 60 Minutes - A Brief Introduction,0.0,56659.0,4397,16,Business Finance
907444,SAP FICO For Beginners - A Guide to SAP Financial Accounts,100.0,1444.0,101,59,Business Finance
317030,Learn how to double your Forex Trading Account in one trade,60.0,,424,36,Business Finance
891490,"Accounting Superpowers: Learn Accounts, Understand Business!",200.0,1437.0,96,34,Business Finance
1070886,Python Algo Trading: FX Trading with Oanda,200.0,453.0,42,33,Business Finance
812616,Save on Your Taxes,20.0,2437.0,12,23,Business Finance
407984,Financial Model Basics: Build a model from start to finish,30.0,5057.0,142,13,Business Finance
214046,Option Trading for Rookies: The Covered Call Option Strategy,95.0,6092.0,25,29,Business Finance
512400,EFT for Stock Options Trading Success & Making Better Trades,95.0,4530.0,13,31,Business Finance
377370,Learn to Trade the Stock Market without Blowing Your Profits,60.0,6967.0,16,34,Business Finance
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,20.0,727.0,11,25,Business Finance
945750,Fundamentals of Accounting,20.0,1560.0,43,25,Business Finance
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200.0,1047.0,9,46,Business Finance
1188410,basics of mutual funds for ca / cma / cs / cfa exams,125.0,1045.0,2,17,business finance
402836,Accounting 101: How to read an Accounting Balance Sheet,200.0,3050.0,86,22,Business Finance
588764,Stock Options Day Trading Mindset for Success,200.0,2988.0,21,43,Business Finance
576946,Introduction to bookkeeping and Accounting,35.0,2623.0,158,20,Business Finance
543242,Learn to Trade The News,200.0,1924.0,351,544,Business Finance
502240,"Value Investing, Taught by Six Superinvestors",200.0,3804.0,267,66,Business Finance
598266,Trading for everyone - The Independent Investor Course I,120.0,4133.0,15,36,Business Finance
814068,get acquired: learn from the head of acquisitions for ebay,,1420.0,70,29,business finance
1076920,Stock Market investment: Practical Accounting,125.0,1120.0,6,43,Business Finance
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",200.0,668.0,12,22,Business Finance
441112,Accounting Basics in 66 Minutes (absolutely for beginners),25.0,4086.0,31,14,Business Finance
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",200.0,1033.0,10,29,Business Finance
1028030,Analysis of Company Financial Statements,20.0,,34,34,Business Finance
1018380,Forex Trading Like Banks – Step by Step with Live Examples,195.0,677.0,45,40,Business Finance
575676,Fundamentals of Investing!,20.0,3125.0,54,13,Business Finance
1105216,Bank Financial Management A Comprehensive Study,50.0,,6,21,Business Finance
936328,Learn to Trade Forex and Stocks: From Beginner to Advanced,200.0,1645.0,25,42,Business Finance
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",120.0,3348.0,352,13,Business Finance
1103718,naked put options trade covered call & poor man covered call,200.0,939.0,7,19,business finance
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,200.0,2115.0,59,88,Business Finance
625568,Charting for Beginners 101: Technical Analysis Demystified,45.0,2230.0,102,10,Business Finance
297742,Build a DCF Valuation Model,50.0,2053.0,234,44,Business Finance
24877,Introductory Financial Accounting,80.0,1793.0,265,54,Business Finance
1188742,Introduction to Cryptocurrencies and Blockchain,0.0,3775.0,138,11,Business Finance
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,200.0,521.0,67,24,Business Finance
415802,Accounting Standards Basics (Professional Course Level),20.0,2222.0,9,12,Business Finance
323950,Use the Magic Multiple Moving Average Forex Trading system,50.0,1097.0,252,10,Business Finance
488818,QuickBooks 2015 Training for Newbies,200.0,2506.0,21,76,Business Finance
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,120.0,975.0,23,23,Business Finance
638980,option trading: how to adjust delta-neutral strangles!,145.0,1398.0,15,26,business finance
599684,Profitable binary option trading strategy,195.0,1096.0,24,24,Business Finance
332848,Tax Strategy: Financial Planning for Beginners,200.0,1703.0,59,25,Business Finance
354324,Accounting 2 Simplified for You,45.0,1446.0,23,27,Business Finance
379682,project funding modelling (for professionals),20.0,2736.0,3,8,business finance
319020,Investing: How I Consistently Beat The Stock Market,200.0,2000.0,31,34,Business Finance
713258,Bookkeeping Basics:  Understand the Fundamentals,75.0,853.0,45,48,Business Finance
537884,Leasing - A Comprehensive Study (Professional Course Level),20.0,3094.0,2,22,Business Finance
919906,Trading Options For Consistent Returns: Options Basics,0.0,4077.0,281,20,Business Finance
46010,TechniTrader Leading Hybrid Indicator Trading,20.0,4117.0,54,5,Business Finance
777932,Financial modeling: Build a DCF equity valuation model,20.0,1369.0,17,31,Business Finance
773934,CryptoArbitrager: Bitcoin Trading Robot (no mining),,1224.0,42,14,Business Finance
221306,Accounting Is Easy (for Beginners),20.0,3870.0,12,90,Business Finance
830994,Non Directional Weekly Options Trading System - ETF & Emini,200.0,897.0,22,21,Business Finance
723510,The Complete Position Trading Course: Position Trading Stock,45.0,1311.0,36,5,Business Finance
42643,Master Iron Condors - Double the credit for half the risk,60.0,1338.0,139,7,Business Finance
411778,Basics of investing in Mutual Funds,20.0,1589.0,26,42,Business Finance
366514,A Value Investing Approach to the Stock Market,20.0,1189.0,12,15,Business Finance
471588,Learn how to INVEST for huge profits or make it big trading!,50.0,701.0,12,37,Business Finance
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50.0,1105.0,3,54,Business Finance
607876,Mastering Candlestick Charting : High Probability Trading,50.0,,16,35,Business Finance
249950,Binary Options Course - Level 2,0.0,5874.0,207,9,Business Finance
792216,Stock Technical Analysis with R,50.0,354.0,32,49,Business Finance
45139,"Get to know the VIX Index (aka 'The Fear Index)""",60.0,,64,9,Business Finance
692176,Apply finance concepts for smart project management,0.0,3465.0,161,24,Business Finance
1224262,Introduction to Futures Trading and Live Trade Demonstration,60.0,54.0,4,6,Business Finance
598094,crowdfunding to win,40.0,627.0,15,15,business finance
40039,Comprehensive Forex Mastery Program,45.0,650.0,107,97,Business Finance
1266148,preparation of consolidated financial statements (basic),0.0,965.0,0,18,business finance
791422,Succeed in Bonds Even if You Don't Know Where to Start,200.0,1113.0,6,8,Business Finance
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95.0,739.0,28,45,Business Finance
791436,Succeed in Lotto Even if You Don't Know Where to Start!,20.0,1201.0,12,18,Business Finance
537878,CFA Corporate Finance Level 2,50.0,2474.0,6,128,Business Finance
923184,pin bars: the most powerful forex trading signal,200.0,494.0,16,19,business finance
476256,Stock Options Trades Using Interactive Brokers,95.0,1580.0,26,14,Business Finance
552504,Introduction to Options - Strategies For Consistent Profits,40.0,617.0,44,55,Business Finance
537888,Risk in Forex Transactions - for CA / CS / CFA exams,20.0,2235.0,3,9,Business Finance
385686,Basics of Business Statistics (College Level),20.0,2293.0,9,28,Business Finance
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200.0,1094.0,8,13,Business Finance
57415,Interpreting Financial Statements,20.0,1449.0,29,23,Business Finance
155344,Introduction to Bookkeeping (Accounting),20.0,3251.0,10,59,Business Finance
42491,credit spread surgery - bear call and bull put mastery ,60.0,607.0,55,16,business finance
511952,Investment Banking: How to Land a Job on Wall Street,75.0,1218.0,30,63,Business Finance
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20.0,1132.0,33,18,Business Finance
862786,Financial modeling: Build a multiples valuation model,20.0,656.0,17,20,Business Finance
165122,Trade Recap I - A Real Look at Futures Options Markets,20.0,3339.0,4,11,Business Finance
530768,Advanced Stock Options for Serious Equity Investors!,200.0,1271.0,23,7,Business Finance
